# language-input-glosspack-v1
# language=en
# source=CC-CEDICT (MDBG)
# source_sha256=1ACC073BCFE431C6002901ED8D19A16E32C4AD8D54F85BD746C4A4F50A2C589D
# license=CC-BY-SA-4.0 https://creativecommons.org/licenses/by-sa/4.0/
110	the emergency number for law enforcement in Mainland China and Taiwan
119	the emergency number for firefighting services in Mainland China
11区	Japan (from the anime "Code Geass", in which Japan was renamed Area 11)
11區	Japan (from the anime "Code Geass", in which Japan was renamed Area 11)
120	the emergency number for medical assistance and first aid in...
2019冠状病毒病	COVID-19, the coronavirus disease identified in 2019
2019冠狀病毒病	COVID-19, the coronavirus disease identified in 2019
21三体综合症	trisomy; Down's syndrome
21三體綜合症	trisomy; Down's syndrome
3C	computers, communications, and consumer electronics
3D打印	to 3D print; 3D printing
3D打印机	3D printer
3D打印機	3D printer
3P	threesome
3Q	thank you (loanword)
421	four grandparents, two parents and an only child
4S店	authorized full-service car dealership (offering sales, spare parts...
502胶	cyanoacrylate glue
502膠	cyanoacrylate glue
88	bye-bye (alternative for 拜拜)
95后	people born between 1995-01-01 and 1999-12-31
95後	people born between 1995-01-01 and 1999-12-31
996	9am–9pm, six days a week (work schedule)
A	to steal
AA制	to split the bill; to go Dutch
AB制	to split the bill (where the male counterpart foots the larger...
ACG	acronym for "anime, comics and games"
A咖	A-list; top-tier
A圈儿	at symbol, @
A圈兒	at symbol, @
A片	adult movie; pornography
A菜	A-choy, or Taiwanese lettuce (Lactuca sativa var. sativa) (from...
A貨	good-quality fake
A货	good-quality fake
B	euphemistic variant of 屄
BM	Brandy Melville, fashion brand known for clothes targeted at very...
BP机	beeper; pager
BP機	beeper; pager
B型超声	type-B ultrasound
B型超聲	type-B ultrasound
B格	variant of 逼格
B站	Bilibili, Chinese video-sharing website featuring scrolled user...
B超	B-mode ultrasonography; prenatal ultrasound scan
CJB	doesn't live up to the hype
CP	an imagined romantic relationship between two characters in fiction...
CP值	value for money; bang for your buck
C位	(neologism, c. 2015) (coll.) most prominent position (e.g. in a...
C盘	C drive or default startup drive (computing)
C盤	C drive or default startup drive (computing)
C罗	nickname of Portuguese soccer player Cristiano Ronaldo
C羅	nickname of Portuguese soccer player Cristiano Ronaldo
DNA鉴定	DNA test; DNA testing
DNA鑒定	DNA test; DNA testing
E仔	MDMA (C11H15NO2)
G友	see 基友
G弦裤	G-string
G弦褲	G-string
G点	G-spot
G點	G-spot
H桥	H bridge (electronics)
H橋	H bridge (electronics)
IP	intellectual property (in China, esp. since 2015, often used as an...
IP剧	screen adaptation (TV series or movie based on an online novel or...
IP劇	screen adaptation (TV series or movie based on an online novel or...
JK制服	high school girl’s uniform
K书	to cram
K人	to hit sb; to beat sb
K仔	ketamine (slang)
K他命	ketamine (C13H16ClNO) (slang)
K房	KTV; KTV room
K書	to cram
K歌	karaoke (slang)
K粉	ketamine (slang)
K線	candlestick (in a candlestick chart)
K線圖	candlestick chart
K线	candlestick (in a candlestick chart)
K线图	candlestick chart
K金	see 开金
L照	nude picture (from 裸照)
MC	menstruation (from "menstrual cycle")
MV	desirability as a partner (abbr. for "mate value"); music video
M巾	menstrual pad
NG	(film and TV) blooper; outtake
NG片段	(film and TV) blooper; outtake
NG鏡頭	(film and TV) blooper; outtake
NG镜头	(film and TV) blooper; outtake
N久	a very long time (etymology: in mathematics, n represents an...
N挡	neutral (gear)
N擋	neutral (gear)
OK繃	band-aid; sticking plaster
OK绷	band-aid; sticking plaster
OK鏡	OK lens, orthokeratology contact lens that helps reshape the cornea...
OK镜	OK lens, orthokeratology contact lens that helps reshape the cornea...
OS	(in a soap opera or movie) voice-over that makes a character's...
O型腿	bow legs; bow-leggedness
P	femme (lesbian stereotype); to photoshop
PA	public area attendant (tasked with cleaning the public areas of a hotel)
PA部	hotel staff work unit tasked with keeping the public areas of a...
PK	to take on; to challenge
PO	to post (online); also pr
PO文	to post a message
PU	the degree of suspicion that a woman might, after she marries, cheat...
PUA	(neologism, attested by 2019) to exert control over (sb) by means of...
P图	to photoshop a picture; photoshopped picture
P圖	to photoshop a picture; photoshopped picture
P挡	park (gear); program mode (on a digital camera)
P擋	park (gear); program mode (on a digital camera)
P民	shitizen; commoner
Q	cute (loanword); to cue sb
QR扣	QR code
Q劲	springy mouthfeel
Q勁	springy mouthfeel
Q弹	(of a food's mouthfeel) springy; firm
Q彈	(of a food's mouthfeel) springy; firm
T	butch (lesbian stereotype)
TA	he or she
TF卡	microSD card
Tony	hairdresser
Tony老师	hairdresser
Tony老師	hairdresser
T台	runway (for a fashion show etc); catwalk
T型台	runway (for a fashion show etc); catwalk
T字帐	T-account (accounting)
T字帳	T-account (accounting)
T字裤	thong (underwear)
T字褲	thong (underwear)
T恤	T-shirt
T裇	variant of T恤
UP主	uploader (person who uploads a video or other content to the Internet)
USB手指	USB flash drive
U凸內褲	contour pouch brief (men's underwear)
U凸内裤	contour pouch brief (men's underwear)
U型枕	travel pillow
U型池	(sports) vert ramp; half-pipe
U形轉彎	U-turn
U形转弯	U-turn
U盘	USB flash drive; thumb drive
U盤	USB flash drive; thumb drive
U盾	USB key used as a security token in Chinese online banking
VCR	video clip (loanword from "videocassette recorder")
V沟	low neckline that reveals the cleavage; décolleté
V溝	low neckline that reveals the cleavage; décolleté
XO酱	XO sauce, a spicy seafood sauce invented in Hong Kong in the 1980s
XO醬	XO sauce, a spicy seafood sauce invented in Hong Kong in the 1980s
X光	X-ray
Z世代	Generation Z; Zoomers
cos	cosplay; to cosplay
coser	cosplayer
e人	extroverted person
ins	Instagram
i人	introverted person
ky	socially tone-deaf
mua	mwah (sound of a kiss)
w	ten thousand (abbr. for 万)
word	my (Internet slang variant of 我的)
word姐	my big sister (Internet slang version of 我的姐)
□	cool; awesome
○	character used in Taiwan as a substitute for a real name (like "X"...
⺮	"bamboo" radical in Chinese characters (Kangxi radical 118)
々	iteration mark indicating repetition of the preceding character in...
〇	zero
〡	numeral 1 in the Suzhou numeral system 苏州码子
〢	numeral 2 in the Suzhou numeral system 苏州码子
〣	numeral 3 in the Suzhou numeral system 苏州码子
〤	numeral 4 in the Suzhou numeral system 苏州码子
〥	numeral 5 in the Suzhou numeral system 苏州码子
〦	numeral 6 in the Suzhou numeral system 苏州码子
〧	numeral 7 in the Suzhou numeral system 苏州码子
〨	numeral 8 in the Suzhou numeral system 苏州码子
〩	numeral 9 in the Suzhou numeral system 苏州码子
〸	numeral 10 in the Suzhou numeral system 苏州码子
〻	iteration mark indicating repetition of the preceding character in...
ㄅㄧㄤˋ	cool; awesome
ㄏㄤ	popular; hot (from Taiwanese 烘, Tai-lo pr. )
㐄	component in Chinese characters, mirror image of 夂
㐅	old variant of 五
㐌	variant of 它
㐖	used in 㐖毒
㐖毒	archaic name for India
㐜	variant of 仇
㐡	old variant of 懦
㐤	old variant of 求
㐫	old variant of 凶
㐰	old variant of 信
㐷	(Chinese chess) horse; knight (on the red side)
㐺	old variant of 众
㑇	beautiful; clever
㑊	used in 解㑊
㑩	used in 偻㑩
㑳	beautiful; clever
㑺	old variant of 俊
㒳	old variant of 两
㒸	old variant of 遂
㒺	old variant of 罔
㓂	old variant of 寇
㓥	(Cantonese) to butcher; to cut open
㓥房	(HK) subdivided flat (apartment); partitioned apartment
㔾	"seal" radical in Chinese characters (Kangxi radical 26)
㕁	old variant of 却
㕑	old variant of 厨
㕘	variant of 参
㕥	old variant of 呻; old variant of 以
㕯	old variant of 讷
㕻	also pr; variant of 咅
㖊	fathom (1.83 meters) (old)
㖞	awry (mouth); askew
㗂	tight-lipped; to examine
㘎	(of a tiger) to growl; to roar
㘓	used in 𪢌哰
㘓哰	incoherent; unintelligible
㘚	(of a tiger) to growl; to roar
㘭	variant of 坳
㘵	(used in place names)
㙍	(used in place names)
㙡	used in 鸡𭎂
㙦	(used in place names)
㚻	used in 㚻奸
㚻奸	variant of 鸡奸
㚻姦	variant of 鸡奸
㛀	pregnant woman (archaic)
㛂	graceful; frail and petite
㛃	variant of 洁 (mostly used in given names)
㝄	old variant of 纯
㝇	old variant of 鹑
㝉	to store; to stand
㝛	old variant of 宿
㝠	old variant of 冥
㝡	variant of 最
㝵	to obtain (old variant of 得); variant of 碍
㞎	poo; to shit
㞎㞎	(baby talk) poop
㞗	penis; dick
㞙	old variant of 尿
㞞	semen; weak and incompetent
㟁	variant of 岸
㟃	(used in place names)
㟥	uneven; not uniform
㠀	variant of 岛
㠇	(name of a mountain ridge)
㠯	old variant of 以
㠶	variant of 帆
㡌	old variant of 帽
㢘	old variant of 廉
㢠	variant of 迥
㢲	variant of 巽
㢴	old variant of 西
㣟	to go; to walk
㤅	old variant of 爱
㤘	stubborn
㤙	variant of 恩
㤽	used in 㤽㤽
㤽㤽	anxious; depressed
㥁	variant of 德
㥏	ashamed
㥦	variant of 惬
㥮	stubborn
㦂	old variant of 常
㧐	to stand upright; to push
㧑	to split; to direct
㧑挹	to be extremely modest and polite
㧑损	to humble
㧟	to scratch (an itch); to carry on the arm
㧯	round-bottomed wicker basket; to lift
㧰	to beat; to pound
㧱	old variant of 拿
